contrast,first_mean_pr_auc,second_mean_pr_auc,mean_delta_first_minus_second,median_delta_first_minus_second,wins_first,ties,losses_first,rank_biserial,wilcoxon_nonzero_n,wilcoxon_exact_p,bootstrap_95_low,bootstrap_95_high,holm_p_5
4to1_local_minus_raw,0.7204942366084189,0.7196684295387635,0.0008258070696553334,0.0009436049291285387,17,0,1,0.7894736842105263,18,0.00193023681640625,-9.451858694627613e-05,0.0015278286956146557,0.007720947265625
3to1_local_minus_raw,0.7213959967218841,0.7202269018582759,0.0011690948636082607,0.0010545374671003804,15,0,3,0.7894736842105263,18,0.00193023681640625,0.0005753338105001699,0.0017917274275802632,0.007720947265625
2to1_local_minus_raw,0.723399719029844,0.7223211613442364,0.0010785576856075878,0.0010738277615139347,14,0,4,0.8362573099415205,18,0.0008392333984375,0.0005926491789783736,0.001581513710202623,0.0041961669921875
1to1_local_minus_raw,0.7219743555572474,0.7210218197019859,0.0009525358552616498,0.001119092625839202,16,0,2,0.7543859649122807,18,0.00336456298828125,0.00012670817024781268,0.0016000733652607028,0.007720947265625
retained_2to1_local_minus_nested_tuned_raw,0.723399719029844,0.720932005194895,0.0024677138349491696,0.0023490700372511553,16,0,2,0.7192982456140351,18,0.0055999755859375,0.0005264526981426551,0.004297620354310715,0.007720947265625
