method_a,method_a_label,method_b,method_b_label,mean_delta,median_delta,wins_a,ties,losses_a,rank_biserial,wilcoxon_nonzero_n,wilcoxon_exact_p,bootstrap_95_low,bootstrap_95_high,sampler,holm_p_8
pste_smote,PSTE--SMOTE,os_smote,SMOTE,0.01796918128018968,0.013282227368506205,16,0,2,0.8596491228070176,18,0.0005340576171875,0.009838748324035473,0.027337414416164496,SMOTE,0.00075531005859375
pste_ros,PSTE--ROS,os_ros,Random oversampling,0.017064115160903833,0.010980998616417437,17,0,1,0.8947368421052632,18,0.00025177001953125,0.008870280909018464,0.026349904126945402,Random oversampling,0.00075531005859375
pste_kmeans_smote,PSTE--KMeans-SMOTE,os_kmeans_smote,KMeans-SMOTE,0.021740813842609726,0.01201802019472803,17,0,1,0.9649122807017544,18,3.814697265625e-05,0.010866843597074894,0.035703802956390834,KMeans-SMOTE,0.00026702880859375
pste_adasyn,PSTE--ADASYN,os_adasyn,ADASYN,0.02891998179004694,0.019218228868725373,18,0,0,1.0,18,7.62939453125e-06,0.018795121627503766,0.04083398125261951,ADASYN,6.103515625e-05
pste_borderline_smote,PSTE--Borderline-SMOTE,os_borderline_smote,Borderline-SMOTE,0.02421027143238928,0.01940194852801752,16,0,2,0.9298245614035088,18,0.0001068115234375,0.01432475892481079,0.034986111712844055,Borderline-SMOTE,0.0005340576171875
pste_geometric_smote,PSTE--G-SMOTE,os_geometric_smote,G-SMOTE,0.0125390796602756,0.010125091045871337,16,0,2,0.9532163742690059,18,5.340576171875e-05,0.00695028251970294,0.020738471335307547,G-SMOTE,0.0003204345703125
pste_mgvae,PSTE--MGVAE,os_mgvae,MGVAE,0.016088902424184155,0.009869156820653091,15,0,3,0.9298245614035088,18,0.0001068115234375,0.008121741070087223,0.025845416447957265,MGVAE,0.0005340576171875
pste_fol,PSTE--Fast Outward Ladder,os_fol,Fast Outward Ladder,0.01306177255379561,0.009609484607788654,15,0,3,0.8830409356725146,18,0.00032806396484375,0.006647834216749096,0.02086036283200133,Fast Outward Ladder,0.00075531005859375
pste_family_mean,PSTE family mean,standalone_family_mean,Standalone sampler family mean,0.018949264768049357,0.012384502252300866,18,0,0,1.0,18,7.62939453125e-06,0.011588783765301567,0.027914099934987988,Matched family mean,
